house_key,address,price,extra_info
house_59,"Farsundsvej 6, 8200 Aarhus N",3.198.000,Villa | 4 vær. | 100/60 m2
house_60,"Solhøjvej 3, Hasle, 8210 Aarhus V",2.998.000,Villa | 4 vær. | 91 m2
house_61,"Elevvej 86, Lisbjerg, 8200 Aarhus N",2.395.000,Villa | 4 vær. | 118 m2
house_62,"Drosselvej 10, 8210 Aarhus V",4.695.000,Villa | 4 vær. | 110 m2
house_63,"Aprilvej 20, 8210 Aarhus V",4.149.000,Villa | 7 vær. | 185/38 m2
house_64,"Præstevangsvej 45, Hasle, 8210 Aarhus V",7.995.000,Villa | 7 vær. | 122/118 m2
house_65,"Stejlagervej 17, Hasle, 8210 Aarhus V",4.998.000,Villa | 5 vær. | 144/104 m2
house_66,"Fenrisvej 73, 8210 Aarhus V",4.749.000,Villa | 6 vær. | 163/98 m2
house_67,"Møllevangs Allé 205, 8200 Aarhus N",6.748.000,Villa | 11 vær. | 289 m2
house_68,"Høvej 61A, Elev, 8200 Aarhus N",3.995.000,Villa | 3 vær. | 80 m2
house_69,"Aldersrovej 29, 8200 Aarhus N",10.998.000,Villa | 8 vær. | 233/70 m2
house_70,"Fuglebakkevej 23, 8210 Aarhus V",4.248.000,Villa | 5 vær. | 129/74 m2
house_71,"Norsgade 8, 8000 Aarhus C",7.895.000,Villa | 5 vær. | 122 m2
house_72,"Stejlagervej 7, Hasle, 8210 Aarhus V",5.495.000,Villa | 6 vær. | 165 m2
house_73,"Birketinget 15, 8000 Aarhus C",26.000.000,Villa | 5 vær. | 213/85 m2
house_74,"Østrevej 3, Hasle, 8210 Aarhus V",3.798.000,Villa | 2 vær. | 102/68 m2
house_75,"Randersvej 331, Lisbjerg, 8200 Aarhus N",2.698.000,Villa | 5 vær. | 150/9 m2
house_76,"Valdemarsgade 55B, 8000 Aarhus C",4.295.000,Villa | 3 vær. | 75 m2
house_77,"Haslegårdsvej 21, 8210 Aarhus V",3.695.000,Villa | 5 vær. | 185/120 m2
house_78,"Bodøvej 148, 8200 Aarhus N",4.245.000,Villa | 5 vær. | 163 m2
house_79,"Sjællandsgade 110B, 8000 Aarhus C",4.798.000,Villa | 3 vær. | 90/50 m2
house_80,"Anholtsgade 3, 8000 Aarhus C",5.600.000,Villa | 4 vær. | 121/42 m2
house_81,"Holmstruphøjvej 149, Holmstrup, 8210 Aarhus V",4.850.000,Villa | 7 vær. | 202 m2
house_82,"Ystadgade 12, 8200 Aarhus N",4.398.000,Villa | 3 vær. | 83 m2
house_83,"Valbyvej 11, 8000 Aarhus C",7.995.000,Villa | 6 vær. | 144/84 m2
house_84,"Solhøjvej 23, Hasle, 8210 Aarhus V",3.898.000,Villa | 4 vær. | 119/38 m2
house_85,"Aldersrovej 27B, 8200 Aarhus N",9.500.000,Villa | 13 vær. | 358/130 m2
house_86,"Fuglesangs Allé 53, 8210 Aarhus V",6.795.000,Villa | 5 vær. | 115/65 m2
house_87,"Bakkehegnet 30, Hasle, 8210 Aarhus V",4.798.000,Villa | 4 vær. | 117/63 m2
house_88,"Thorshavnsgade 6, 8200 Aarhus N",4.750.000,Villa | 2 vær. | 115 m2
house_89,"Tingvej 6, Hasle, 8210 Aarhus V",4.948.000,Villa | 4 vær. | 151/67 m2
house_90,"Novembervej 24, 8210 Aarhus V",5.395.000,Villa | 5 vær. | 180/140 m2
house_91,"Januarvej 5, 8210 Aarhus V",3.798.000,Villa | 4 vær. | 170/50 m2
