house_38,"Strandvejen 138, 8000 Aarhus C",16900000,7 vær.,295/120 m2
house_39,"Oktobervej 20, 8210 Aarhus V",3998000,5 vær.,129 m2
house_40,"Dronning Margrethes Vej 83, 8200 Aarhus N",9900000,9 vær.,160/75 m2
house_41,"Haslegårdsvænget 14, Hasle, 8210 Aarhus V",4395000,5 vær.,144 m2
house_42,"Nordvestpassagen 89, 8200 Aarhus N",6095000,8 vær.,152/96 m2
house_43,"H.V. Kaalunds Vej 8, 8000 Aarhus C",4649000,3 vær.,86/86 m2
house_44,"Bethesdavej 71, 8200 Aarhus N",5748000,5 vær.,183/80 m2
house_45,"Laurvigsgade 10, 8200 Aarhus N",5798000,5 vær.,130 m2
house_46,"Farsundsvej 23, 8200 Aarhus N",5498000,5 vær.,185 m2
house_47,"Viborgvej 116, Hasle, 8210 Aarhus V",4245000,6 vær.,155 m2
house_48,"Høeg Hagens Vej 1, 8200 Aarhus N",7850000,3 vær.,146/105 m2
house_49,"Hellerupvej 2, 8000 Aarhus C",14950000,9 vær.,250/125 m2
house_50,"Skovbrynet 20, 8000 Aarhus C",11000000,7 vær.,208/89 m2
house_51,"Dybkjærvej 23B, 8200 Aarhus N",3398000,6 vær.,153 m2
house_52,"Runehøjen 26, Hasle, 8210 Aarhus V",3848000,5 vær.,136/70 m2
house_53,"Tornskadevej 39, 8210 Aarhus V",4495000,4 vær.,101 m2
house_54,"Brendstrupvej 28, 8200 Aarhus N",4675000,5 vær.,95/56 m2
house_55,"Emil Aarestrups Vej 2, 8000 Aarhus C",6800000,5 vær.,166/84 m2
house_56,"Sølystgade 61, st., 8000 Aarhus C",9995000,5 vær.,300/80 m2
house_57,"Skejbytoften 103, Skejby, 8200 Aarhus N",4365000,5 vær.,143 m2
house_58,"Viborgvej 112, Hasle, 8210 Aarhus V",4498000,6 vær.,125/70 m2
house_59,"Farsundsvej 6, 8200 Aarhus N",3198000,4 vær.,100/60 m2
house_60,"Solhøjvej 3, Hasle, 8210 Aarhus V",2998000,4 vær.,91 m2
house_61,"Elevvej 86, Lisbjerg, 8200 Aarhus N",2395000,4 vær.,118 m2
house_62,"Drosselvej 10, 8210 Aarhus V",4695000,4 vær.,110 m2
house_63,"Aprilvej 20, 8210 Aarhus V",4149000,7 vær.,185/38 m2
house_64,"Præstevangsvej 45, Hasle, 8210 Aarhus V",7995000,7 vær.,122/118 m2
house_65,"Stejlagervej 17, Hasle, 8210 Aarhus V",4998000,5 vær.,144/104 m2
house_66,"Fenrisvej 73, 8210 Aarhus V",4749000,6 vær.,163/98 m2
house_67,"Møllevangs Allé 205, 8200 Aarhus N",6748000,11 vær.,289 m2
house_68,"Høvej 61A, Elev, 8200 Aarhus N",3995000,3 vær.,80 m2
house_69,"Aldersrovej 29, 8200 Aarhus N",10998000,8 vær.,233/70 m2
house_70,"Fuglebakkevej 23, 8210 Aarhus V",4248000,5 vær.,129/74 m2
house_71,"Norsgade 8, 8000 Aarhus C",7895000,5 vær.,122 m2
house_72,"Stejlagervej 7, Hasle, 8210 Aarhus V",5495000,6 vær.,165 m2
house_73,"Birketinget 15, 8000 Aarhus C",26000000,5 vær.,213/85 m2
house_74,"Østrevej 3, Hasle, 8210 Aarhus V",3798000,2 vær.,102/68 m2
house_75,"Randersvej 331, Lisbjerg, 8200 Aarhus N",2698000,5 vær.,150/9 m2
house_76,"Valdemarsgade 55B, 8000 Aarhus C",4295000,3 vær.,75 m2
house_77,"Haslegårdsvej 21, 8210 Aarhus V",3695000,5 vær.,185/120 m2
house_78,"Bodøvej 148, 8200 Aarhus N",4245000,5 vær.,163 m2
house_79,"Sjællandsgade 110B, 8000 Aarhus C",4798000,3 vær.,90/50 m2
house_80,"Anholtsgade 3, 8000 Aarhus C",5600000,4 vær.,121/42 m2
house_81,"Holmstruphøjvej 149, Holmstrup, 8210 Aarhus V",4850000,7 vær.,202 m2
house_82,"Ystadgade 12, 8200 Aarhus N",4398000,3 vær.,83 m2
house_83,"Valbyvej 11, 8000 Aarhus C",7995000,6 vær.,144/84 m2
house_84,"Solhøjvej 23, Hasle, 8210 Aarhus V",3898000,4 vær.,119/38 m2
house_85,"Aldersrovej 27B, 8200 Aarhus N",9500000,13 vær.,358/130 m2
house_86,"Fuglesangs Allé 53, 8210 Aarhus V",6795000,5 vær.,115/65 m2
house_87,"Bakkehegnet 30, Hasle, 8210 Aarhus V",4798000,4 vær.,117/63 m2
house_88,"Thorshavnsgade 6, 8200 Aarhus N",4750000,2 vær.,115 m2
house_89,"Tingvej 6, Hasle, 8210 Aarhus V",4948000,4 vær.,151/67 m2
house_90,"Novembervej 24, 8210 Aarhus V",5395000,5 vær.,180/140 m2
house_91,"Januarvej 5, 8210 Aarhus V",3798000,4 vær.,170/50 m2
